bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
181,S,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
189,S,117,"Brown, Sherrod Campbell (D-OH-1)",B000944,51301
193,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
200,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
203,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
205,S,117,"Carper, Thomas Richard (D-DE)",C000174,51161
205,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
207,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
212,S,117,"Casey, Robert Patrick, Jr. (D-PA-1)",C001070,51840
212,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
212,S,117,"Leahy, Patrick Joseph (D-VT)",L000174,51206
215,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
223,S,117,"Brown, Sherrod Campbell (D-OH-1)",B000944,51301
227,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
233,S,117,"Tester, Raymond Jon (D-MT)",T000464,51845
237,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
239,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
247,S,117,"Toomey, Patrick Joseph, Jr. (R-PA-2)",T000461,51835
248,S,117,"Duckworth, Ladda Tammy (D-IL-2)",D000622,198768
248,S,117,"Leahy, Patrick Joseph (D-VT)",L000174,51206
248,S,117,"Schumer, Charles Ellis (D-NY-2)",S000148,51231
253,S,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
1,S,117,"Hassan, Margaret Coldwell Wood (D-NH-1)",H001076,232351
1,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
4,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
13,S,117,"Young, Todd Christopher (R-IN-1)",Y000064,52983
19,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
32,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
32,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
35,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
43,S,117,"Young, Todd Christopher (R-IN-1)",Y000064,52983
